"","mRNA_wt_rep1","mRNA_wt_rep2","mRNA_mt_rep1","mRNA_mt_rep2","Ribo_wt_rep1","Ribo_wt_rep2","Ribo_mt_rep1","Ribo_mt_rep2","gene_length"
"YCL037C",3454,2288,1716,1177,12759,11170,3221,2401,1245
"YCL035C",2406,1802,2101,1617,20995,23157,9230,9619,273
"YCL033C",435,262,294,211,3680,3144,1463,1243,447
"YCL031C",848,631,798,561,1463,1627,993,936,834
"YCL030C",2024,1617,668,601,4442,4252,618,486,2340
"YCL029C",406,281,185,193,1216,1228,349,284,1263
"YCL026C-B",189,139,31,34,1611,1823,166,173,522
"YCL026C-A",18,9,9,5,26,27,3,2,522
"YCL025C",1131,897,320,206,1870,1844,185,133,1842
"YCL017C",1451,918,551,532,4883,4240,1164,1139,1434
"YCL016C",330,214,239,243,507,424,248,280,1083
"YCL012C",282,208,215,141,751,711,469,572,412
"YCL011C",1291,930,861,754,2827,2574,1012,887,1224
"YCL010C",374,232,236,195,671,611,344,410,720
"YCL009C",2320,1281,701,615,7787,6685,2169,1684,870
"YCL008C",413,279,243,280,1232,1191,669,704,1098
"YCL002C",343,195,221,97,151,130,109,104,808
"YCR002C",1081,742,733,580,2710,2470,934,973,909
"YCR004C",2094,1521,1334,1140,11146,10530,3728,3732,684
"YCR005C",3956,3306,7239,5237,3074,4400,5110,5956,1323
"YCR007C",211,140,152,110,158,210,80,103,660
"YCR009C",1410,1067,1088,945,4704,4634,1944,2200,738
"YCR010C",18,16,14,10,30,34,18,24,792
"YCR011C",3628,2565,1877,1608,5253,5136,1270,1380,3090
"YCR014C",235,226,242,190,35,24,7,12,1689
"YCR015C",357,235,261,153,374,365,169,188,894
"YCR017C",2341,1502,1023,690,2472,2106,529,523,2802
"YCR020C",174,82,134,112,106,82,53,43,588
"YCR020C-A",155,148,88,70,475,411,252,255,207
"YCR021C",60,34,138,62,142,110,96,96,939
"YCR022C",7,3,4,3,2,2,2,5,285
"YCR023C",782,457,407,247,516,481,212,197,1776
"YCR024C",434,295,195,194,456,458,159,172,1419
"YCR024C-B",3233,2089,3188,1045,21,29,32,23,207
"YCR024C-A",1493,1007,1374,627,9635,8161,8406,7936,63
"YCR025C",51,27,20,22,3,9,10,6,351
"YCR026C",997,710,611,529,1030,984,346,375,2169
"YCR027C",620,380,398,236,587,580,436,413,570
"YCR028C",747,508,477,290,572,562,276,239,1479
"YCR028C-A",1173,783,533,273,5607,5085,1492,1359,431
"YCR030C",1982,1437,1133,1148,5308,5193,1831,2175,2553
"YCR031C",8364,5229,6592,4674,41107,31213,24735,21542,661
"YCR035C",625,578,525,382,1631,1833,581,613,1125
"YCR037C",1161,765,714,474,1394,1303,422,314,2712
"YCR038C",405,250,236,217,276,282,203,201,1869
"YCR042C",1609,1129,1122,839,1409,1556,456,442,4164
"YCR043C",554,334,285,129,1156,880,598,456,324
"YCR044C",671,514,447,363,1138,994,441,451,1014
"YCR045C",8,9,1,3,34,29,8,6,1416
"YCR046C",410,326,103,108,2976,2800,639,543,450
"YCR047C",356,221,222,121,1281,999,451,331,768
"YCR054C",705,503,585,393,883,808,341,354,1632
"YCR057C",1566,952,821,560,1881,1437,855,634,2712
"YCR059C",413,210,158,154,758,655,255,197,717
"YCR064C",13,8,17,9,18,8,9,7,351
"YCR067C",2218,1434,790,627,4752,4740,797,646,3138
"YCR071C",252,238,132,116,1560,1538,457,498,381
"YCR072C",609,383,292,213,1479,1128,472,343,1488
"YCR073C",332,203,325,304,123,95,96,103,3936
"YCR075C",277,217,179,121,315,286,143,143,723
"YCR076C",249,195,181,187,1513,1410,530,565,693
"YCR077C",2221,1440,1068,885,5997,5287,1450,1171,2331
"YCR084C",3048,1892,1159,1000,7033,6229,2032,1839,2082
"YCR087C-A",141,90,114,87,662,531,406,296,402
"YCR090C",515,406,337,220,1005,908,350,343,489
"YCR092C",1003,737,632,466,1061,1010,345,321,2997
"YCR095C",471,430,414,276,595,595,429,427,1029
"YCR098C",139,103,118,63,66,72,34,47,1497
"YCR102C",77,68,50,42,24,16,10,11,1047
"YCL063W",312,187,245,140,481,405,222,181,1212
"YCL058W-A",69,73,69,65,729,752,475,477,282
"YCL057W",2384,1688,568,525,5399,5441,947,882,2079
"YCL055W",499,352,444,263,1659,1623,695,560,948
"YCL054W",1042,871,657,510,2662,2373,719,476,2466
"YCL051W",379,275,220,207,837,815,323,301,1692
"YCL048W",11,12,3,7,40,31,26,13,1332
"YCL040W",17904,14026,3529,5780,86058,93718,8727,13557,1443
"YCL039W",622,431,368,448,939,980,358,365,2178
"YCL036W",416,253,279,246,259,203,154,112,1641
"YCL034W",552,396,329,364,3146,2903,1160,1197,1005
"YCL032W",244,233,198,195,644,618,295,273,981
"YCL028W",1320,818,509,441,10033,8652,1713,1555,1158
"YCL027W",270,163,204,135,721,546,295,270,1479
"YCL024W",868,565,340,233,1247,870,218,199,3054
"YCL021W-A",287,189,113,76,42,43,34,37,318
"YCL018W",1037,643,693,629,2137,1983,276,387,1035
"YCL014W",1294,804,576,403,1285,1124,289,228,4851
"YCL005W-A",335,291,210,164,3429,2773,1305,1040,335
"YCL005W",351,207,225,139,398,359,284,266,711
"YCL004W",351,240,212,196,479,494,195,192,1506
"YCL001W",641,427,391,243,1785,1654,575,517,507
"YCR003W",363,263,190,109,1482,1583,354,320,492
"YCR008W",1955,1403,1274,916,1963,1988,766,731,1752
"YCR012W",153535,99025,25461,19403,665059,535503,57601,43855,1191
"YCR016W",289,251,270,131,1007,917,430,325,813
"YCR019W",370,280,186,166,435,538,210,209,1032
"YCR020W-B",430,341,331,202,525,573,211,206,177
"YCR032W",1742,1210,1655,1119,456,465,241,263,6444
"YCR033W",1314,910,697,672,1218,1065,395,319,3621
"YCR034W",1575,933,731,361,3362,2734,834,630,984
"YCR036W",858,779,730,624,1837,1756,774,767,942
"YCR045W-A",295,176,162,130,82,86,113,123,291
"YCR048W",655,370,306,298,1176,1032,288,224,1773
"YCR051W",324,227,181,137,1716,1316,442,312,609
"YCR052W",950,636,530,467,2288,2151,850,810,1392
"YCR053W",4183,2648,1521,1331,16670,14417,3641,3308,1485
"YCR061W",2082,1527,1243,1096,6714,6313,2028,2064,1836
"YCR063W",299,159,167,116,415,393,277,253,414
"YCR065W",1720,1094,844,639,2077,1517,705,585,1635
"YCR066W",326,235,212,223,448,431,184,215,1404
"YCR068W",516,351,243,300,756,743,336,365,1503
"YCR069W",1152,735,513,463,2403,2258,688,675,897
"YCR073W-A",663,447,354,347,4235,3911,1410,1564,888
"YCR075W-A",123,68,77,71,597,539,268,280,168
"YCR079W",318,228,234,220,243,192,149,138,1269
"YCR081W",1076,675,765,555,527,519,247,206,4224
"YCR082W",883,642,378,273,3203,3271,949,1067,327
"YCR083W",535,485,305,311,2390,2485,1075,1284,324
"YCR085W",1,0,3,0,4,6,3,1,294
"YCR086W",143,115,82,92,927,973,385,422,513
"YCR088W",2435,1879,635,759,21988,20382,3003,2867,1719
"YCR089W",930,459,590,537,210,154,138,109,4770
"YCR091W",344,223,247,314,517,562,258,364,2103
"YCR093W",7655,4842,3054,2395,6485,6342,1249,1097,6267
"YCR094W",728,460,293,223,1060,1134,405,415,1116
"YCR095W-A",367,265,321,274,63,86,96,160,99
"YCR097W",374,368,380,303,1095,1170,685,874,427
"YCR105W",79,63,81,47,432,442,255,300,1026
"YCR106W",660,366,239,212,350,245,106,69,2439
"YCR107W",363,254,213,200,22,30,24,27,1032
"YDL243C",366,235,269,256,84,109,88,113,930
"YDL239C",553,393,442,416,4,6,13,18,2313
"YDL238C",463,277,246,256,381,434,162,220,1410
"YDL235C",962,742,798,503,2059,2145,957,963,444
"YDL234C",755,542,639,709,1403,1391,870,1213,2181
"YDL231C",1199,767,941,686,90,81,21,23,3318
"YDL227C",1053,535,137,76,1880,1167,57,17,1701
"YDL226C",1188,803,479,387,5149,4135,1003,827,999
"YDL224C",1456,958,943,773,2233,2050,1017,897,1890
"YDL222C",939,834,1146,1718,4459,4972,4096,6728,870
"YDL220C",545,325,242,164,450,406,159,173,2715
"YDL217C",340,284,176,156,1250,1062,451,408,564
"YDL216C",255,209,205,232,434,384,194,258,1263
"YDL215C",2487,1796,1822,1346,2366,2539,879,851,3219
"YDL214C",105,92,101,109,116,91,33,37,2040
"YDL213C",199,165,157,109,1266,1096,421,352,618
"YDL211C",189,129,65,65,167,156,65,53,1059
"YDL209C",272,158,177,125,461,372,255,226,960
"YDL205C",898,591,484,435,1807,1753,659,757,924
"YDL203C",794,535,340,302,1347,1107,302,295,1812
"YDL200C",221,188,193,121,605,547,322,329,507
"YDL199C",369,244,235,257,465,536,274,376,2004
"YDL198C",589,434,163,103,1923,1662,197,137,843
"YDL197C",418,288,266,355,90,57,17,11,1518
"YDL190C",2028,1364,1005,715,2813,2706,662,646,2826
"YDL188C",1666,1115,1088,862,3850,3694,1509,1584,1074
"YDL187C",118,62,90,102,42,25,130,123,270
"YDL184C",7998,5886,7001,3644,29520,33570,25271,25393,18
"YDL183C",227,171,99,113,468,513,225,296,903
"YDL177C",135,115,129,69,267,267,152,136,453
"YDL175C",377,281,214,179,1421,1364,397,493,975
"YDL174C",1632,1282,856,839,4789,4942,1389,1413,1704
"YDL171C",7105,4692,3728,2933,6084,5090,1382,1006,6378
"YDL169C",82,87,58,78,259,294,112,203,612
"YDL167C",1038,682,738,446,899,850,526,394,2100
"YDL166C",382,265,217,153,1549,1335,547,467,534
"YDL164C",733,409,199,167,1426,1080,244,243,2208
"YDL160C-A",165,101,84,60,349,284,117,127,183
"YDL160C",2542,1654,1042,687,6665,6719,1107,1216,1461
"YDL157C",358,264,193,132,1713,1498,538,396,297
"YDL153C",521,512,401,329,1437,1359,417,387,1773
"YDL148C",885,636,739,459,1861,1745,696,566,2373
"YDL145C",5613,3757,1887,1436,10366,9864,1894,1550,3546
"YDL144C",531,379,252,245,1823,1658,614,586,1011
"YDL142C",291,237,307,264,734,742,392,570,792
"YDL140C",8094,5364,2335,2001,9037,8652,859,550,5142
"YDL139C",69,51,52,56,294,288,149,244,612
"YDL135C",586,470,395,311,2754,2495,726,762,549
"YDL134C",1743,1198,1316,977,3681,3489,1112,1238,1050
"YDL133C-A",10681,7373,8196,4615,31621,36962,27914,28609,18
"YDL126C",10726,8676,2976,2807,47457,43252,6116,5360,2448
"YDL125C",666,399,380,297,2864,2455,890,875,528
"YDL121C",278,214,180,84,974,762,281,210,390
"YDL119C",196,156,167,159,654,809,275,400,864
"YDL115C",392,313,262,248,970,1038,335,382,1072
"YDL113C",724,610,545,550,1374,1296,405,468,1863
"YDL111C",722,437,495,356,1434,1280,677,670,738
"YDL110C",871,747,763,967,6778,7738,3178,5158,393
"YDL109C",463,260,290,271,56,64,28,31,1884
"YDL106C",437,328,313,257,1154,1217,363,475,1620
"YDL104C",92,53,58,31,135,131,45,55,1164
"YDL103C",767,550,256,266,4070,3811,826,775,1374
"YDL101C",434,291,255,187,1038,946,335,351,1482
"YDL100C",2900,1960,829,536,9542,8897,1418,1140,1005
"YDL098C",170,146,102,72,489,434,162,124,525
"YDL097C",2792,1969,1109,1096,12037,11650,2857,3211,1245
"YDL094C",7,11,7,10,3,5,5,3,450
"YDL091C",491,363,325,254,724,780,290,332,1308
"YDL090C",313,280,288,208,517,479,243,266,1236
"YDL088C",1010,741,697,573,1777,1982,525,570,1527
"YDL087C",166,89,128,79,454,438,192,168,726
"YDL086C-A",30,13,23,10,13,18,11,12,375
"YDL085C-A",145,132,124,68,774,917,334,341,147
"YDL083C",6091,3516,4755,2899,24034,19361,12328,9921,804
"YDL081C",5526,3530,3951,2293,17445,12948,8868,7181,261
"YDL080C",359,249,183,161,251,261,86,89,1770
"YDL079C",63,53,40,66,42,51,14,30,1738
"YDL078C",1503,1088,1090,901,6742,6650,2403,2353,972
"YDL077C",987,653,587,517,909,861,336,282,3090
"YDL076C",584,469,428,363,1093,1103,486,641,825
"YDL074C",1507,1065,989,728,2118,1944,695,620,2043
"YDL072C",2171,1725,1752,1376,6648,6908,3183,4109,552
"YDL069C",210,155,182,130,264,299,133,125,630
"YDL067C",599,548,510,343,2930,2770,1515,1448,120
"YDL065C",402,339,210,188,1808,1822,435,446,969
"YDL063C",904,550,604,285,662,494,260,181,1803
"YDL061C",3215,1933,2332,1303,15525,13626,11409,10240,111
"YDL059C",86,89,36,44,227,203,62,79,657
"YDL055C",20582,12263,8368,4756,50958,41428,10922,8258,1026
"YDL054C",558,299,290,188,868,815,229,252,1401
"YDL053C",678,552,462,331,3752,3725,954,937,498
"YDL052C",1487,950,344,390,4248,3737,813,854,852
"YDL049C",93,67,52,45,127,112,55,52,747
"YDL048C",95,93,45,50,247,231,79,106,1413
"YDL045C",441,360,377,307,742,803,365,404,861
"YDL044C",411,341,275,213,766,773,244,292,1263
"YDL043C",410,273,358,215,972,887,487,490,741
"YDL042C",605,406,255,243,929,889,242,221,1629
"YDL040C",2326,1469,1052,870,4246,3973,1116,961,2505
"YDL039C",580,280,339,368,0,0,0,2,2037
"YDL036C",435,316,238,191,639,532,187,179,1329
"YDL035C",1487,1086,1077,865,989,852,278,263,2826
"YDL033C",297,219,106,71,487,431,75,90,1194
"YDL028C",685,455,417,388,691,618,345,382,2235
"YDL027C",871,652,554,374,1032,906,293,400,1203
"YDL025C",782,556,422,451,1042,1048,271,366,1803
"YDL024C",197,144,139,145,266,270,52,82,1347
"YDL020C",2701,2024,1009,926,5843,5948,1325,1571,1536
"YDL019C",2398,1739,974,1143,3350,3182,526,592,3792
"YDL018C",442,251,216,190,967,866,319,301,618
"YDL015C",2227,1506,1548,847,6423,6070,2118,2371,873
"YDL012C",374,268,217,156,2440,2533,883,869,350
"YDL009C",119,65,56,33,2,5,0,11,264
"YDL005C",607,491,415,328,1302,1430,606,666,1236
"YDL002C",451,442,384,349,1301,1291,633,716,552
"YDR001C",4751,3697,2789,3815,11770,13402,3502,5509,2196
"YDR005C",830,605,627,446,1034,1025,287,349,1208
"YDR006C",1762,1260,1152,841,1243,1198,595,476,2646
"YDR008C",219,143,166,129,62,59,89,115,291
"YDR010C",8,4,11,12,0,2,3,2,273
"YDR016C",198,143,136,84,379,354,174,169,225
"YDR017C",1253,872,487,485,1397,1363,280,273,3093
"YDR018C",107,70,74,85,125,134,45,100,1131
"YDR019C",4199,3268,5696,4537,13654,13090,8565,8012,1143
"YDR020C",228,146,166,103,269,238,117,87,639
"YDR022C",260,183,171,151,384,398,127,176,531
"YDR026C",561,483,391,354,696,750,293,263,1653
"YDR027C",1261,994,645,547,1032,1015,250,322,2610
"YDR028C",2537,1945,1094,1086,3943,4035,525,514,2985
"YDR030C",243,178,252,181,272,249,171,216,1461
"YDR032C",3922,2661,2467,1716,23105,21129,8246,8317,537
"YDR034C",1420,1000,949,629,1191,1218,549,429,2313
"YDR036C",700,570,267,225,1707,1645,241,239,1443
"YDR038C",8327,5719,3490,2773,7388,6698,1142,933,3216
"YDR042C",30,28,31,20,24,21,16,13,543
"YDR045C",523,393,315,184,1141,884,494,439,273
"YDR046C",1242,886,1125,839,1165,1150,638,538,1755
"YDR048C",27,9,13,19,15,13,10,18,255
"YDR050C",27105,18656,9218,6584,139532,117591,26291,20902,687
"YDR051C",587,448,455,402,1169,1186,558,682,945
"YDR052C",825,604,477,389,953,870,432,396,2055
"YDR054C",1293,861,936,758,2234,2044,1183,1320,828
"YDR056C",559,361,343,233,1819,1443,795,762,558
"YDR058C",243,246,234,225,384,496,247,285,921
"YDR059C",237,162,144,81,1015,973,280,430,477
"YDR066C",148,98,138,130,362,404,207,311,531
"YDR067C",337,286,416,314,643,732,454,625,615
"YDR069C",1665,1107,900,596,1127,1245,283,264,2721
"YDR070C",195,175,509,542,1015,1413,2355,3668,222
"YDR071C",1374,995,671,554,4336,4453,1090,1095,516
"YDR072C",577,324,268,278,533,498,171,188,1524
"YDR078C",152,104,67,62,95,93,25,37,612
"YDR079C-A",211,178,137,105,563,522,380,413,159
"YDR081C",999,713,624,474,1289,1322,459,436,2718
"YDR084C",502,328,353,218,1350,1374,591,593,540
"YDR085C",724,474,568,686,658,740,311,365,1803
"YDR086C",1311,937,929,635,4592,4439,2378,2217,183
"YDR087C",441,300,282,180,1797,1546,513,469,777
"YDR088C",307,209,185,156,904,962,271,298,1089
"YDR090C",471,343,346,218,661,625,253,242,873
"YDR091C",3181,1956,2310,1261,4430,4060,1781,1361,1767
"YDR097C",1228,618,245,163,1734,1356,207,128,3669
"YDR098C",1208,969,607,404,6793,6179,1382,1217,798
"YDR101C",1221,724,715,460,1609,1338,668,469,1722
"YDR104C",679,458,371,323,325,343,173,129,3678
"YDR105C",967,673,509,368,1282,1128,442,413,1362
"YDR107C",505,311,186,153,681,504,139,118,1959
"YDR109C",551,402,330,321,530,599,254,282,2088
"YDR111C",544,320,208,187,562,481,158,153,1464
"YDR113C",262,205,112,102,1350,1015,341,367,1062
"YDR116C",565,464,279,207,2048,2010,437,413,798
"YDR117C",611,495,299,247,1973,1927,502,447,1638
"YDR120C",914,606,469,300,1454,1278,530,336,1653
"YDR123C",553,364,169,163,617,632,162,141,855
"YDR125C",366,260,357,337,170,156,84,156,1302
"YDR129C",4419,3614,2235,2280,20304,19706,4422,5448,1980
"YDR130C",350,223,225,170,887,818,384,476,816
"YDR131C",549,366,302,289,548,550,240,338,1611
"YDR132C",266,129,86,55,297,266,71,81,1428
"YDR133C",4243,2498,3130,2939,6488,6249,5144,8055,276
"YDR135C",4078,2811,2084,1488,4296,3741,996,731,4488
"YDR139C",373,311,220,141,1283,1113,728,725,247
"YDR141C",2654,1846,1609,1142,2117,1951,576,469,5037
"YDR142C",323,203,224,181,396,416,264,235,1068
"YDR143C",955,662,366,311,1265,1227,373,343,1773
"YDR144C",1471,881,512,360,2052,1618,398,320,1731
"YDR146C",798,477,373,259,1621,1574,426,383,2070
"YDR148C",1500,1131,644,662,7961,7528,1449,1476,1332
"YDR151C",1199,754,611,583,2819,2899,964,1063,918
"YDR153C",881,694,570,558,3570,3723,1210,1289,1176
"YDR162C",345,323,235,193,958,1108,376,418,651
"YDR164C",917,668,398,388,1143,1076,288,275,2115
"YDR166C",1231,885,854,678,1465,1614,533,593,2856
"YDR169C",987,772,428,380,2030,2047,566,539,1482
"YDR170C",5120,3175,1724,1307,4354,3922,615,428,5970
"YDR173C",568,450,262,256,1244,1145,311,329,1008
"YDR175C",531,329,241,228,2106,2014,470,544,900
"YDR179C",94,78,42,27,251,259,72,64,429
"YDR181C",362,321,292,237,331,405,160,178,1386
"YDR185C",95,54,57,57,299,292,126,182,480
"YDR186C",2119,1462,1203,1152,2612,2608,826,698,2574
"YDR190C",1770,1173,999,820,4449,4204,1328,1201,1332
"YDR192C",371,269,153,153,1497,1402,350,379,1233
"YDR194C",2633,1915,1365,933,3984,3617,718,561,1935
"YDR196C",332,336,459,372,1122,1136,939,1084,666
"YDR198C",381,246,281,159,398,382,172,148,1380
"YDR200C",469,332,308,218,791,793,245,231,1755
"YDR202C",625,400,629,548,988,964,530,678,996
"YDR207C",481,316,153,117,1323,1199,185,164,2451
"YDR215C",6,6,9,12,4,5,13,10,354
"YDR217C",908,614,366,260,1137,1070,218,193,3870
"YDR218C",90,70,22,27,311,382,71,102,1212
"YDR219C",603,479,456,364,810,869,350,332,1338
"YDR224C",1722,1119,1937,1358,7342,7333,5268,6105,336
"YDR228C",857,535,562,426,1790,1918,474,473,1821
"YDR231C",407,297,290,315,1546,1301,515,655,558
"YDR233C",5047,3357,2382,1885,14793,13000,3752,3146,828
"YDR236C",506,340,227,168,948,964,256,238,597
"YDR238C",5271,3631,1867,1506,9457,8657,2044,1754,2862
"YDR239C",510,329,199,265,1138,1144,348,388,2304
"YDR240C",374,263,323,218,645,620,374,399,1419
"YDR243C",742,433,377,328,796,759,307,313,1707
"YDR248C",272,214,160,144,1140,1117,318,285,522
"YDR249C",431,273,293,158,156,157,88,103,1062
"YDR253C",13,22,6,6,45,40,24,22,516
"YDR255C",560,461,472,409,475,569,229,275,1206
"YDR256C",52,22,48,47,10,22,18,40,1488
"YDR257C",810,619,626,485,965,929,460,459,1425
"YDR258C",10031,8384,1377,1980,43037,43565,2590,4626,2376
"YDR259C",238,202,340,301,329,346,323,346,1092
"YDR260C",256,179,145,86,540,516,164,136,453
"YDR261C",1355,881,611,520,3237,3153,521,562,1629
"YDR263C",227,122,131,102,145,112,26,26,1233
"YDR264C",4007,2788,2865,2127,3700,3361,1440,1218,2235
"YDR266C",1311,961,774,690,2408,2341,955,848,1860
"YDR267C",322,210,180,159,572,467,225,204,933
"YDR271C",2,2,1,1,3,2,0,0,312
"YDR274C",2,0,1,3,3,1,1,1,312
"YDR276C",2956,2195,2488,1367,15900,14993,8196,8751,108
"YDR277C",117,96,52,78,314,298,72,118,1242
"YDR281C",9,15,4,2,23,23,5,3,255
"YDR282C",375,289,240,195,552,542,265,321,1185
"YDR283C",1993,1344,1136,882,1428,1330,323,305,4920
"YDR284C",945,670,734,467,1965,2019,864,999,810
"YDR286C",207,150,74,76,410,396,151,132,285
"YDR289C",489,409,287,261,1714,1880,357,443,1170
"YDR292C",1166,813,704,442,1962,1798,574,493,1806
"YDR293C",5424,3982,2760,2781,8082,8032,1976,2212,3693
"YDR294C",1861,1354,1231,1227,3652,3640,1231,1131,1710
"YDR295C",912,720,430,465,1576,1686,501,593,1965
"YDR298C",1369,856,939,565,4881,4059,1995,1714,579
"YDR300C",826,534,349,196,1340,1190,263,199,1227
"YDR303C",2237,1556,897,622,2405,2347,668,602,2598
"YDR304C",1603,1255,1083,809,7225,7109,2454,2450,618
"YDR305C",223,151,170,145,589,550,286,283,683
"YDR306C",721,514,489,400,1042,1147,380,507,1377
"YDR308C",231,162,174,143,795,765,377,382,363
"YDR309C",1943,1204,1056,776,6463,5984,2403,1805,1092
"YDR310C",1645,1160,564,426,1857,1701,392,370,3129
"YDR313C",514,294,223,216,608,682,138,178,801
"YDR314C",448,346,331,290,171,185,90,114,2019
"YDR315C",236,161,189,140,195,199,202,205,786
"YDR319C",388,278,313,175,546,510,217,234,765
"YDR320C",1023,743,289,340,3619,3421,515,629,1947
"YDR320C-A",222,172,168,98,776,706,370,460,159
"YDR322C-A",535,408,477,285,2016,2021,1223,1096,231
"YDR323C",381,252,261,188,363,332,232,179,1488
"YDR324C",1473,1134,980,613,2191,1931,895,614,2271
"YDR326C",2101,1481,1318,978,1197,1135,323,291,4257
"YDR328C",1130,762,628,530,6245,5642,1654,1494,525
"YDR329C",562,393,440,462,1030,1074,468,504,1266
"YDR333C",1438,830,802,617,1671,1486,570,509,2112
"YDR338C",501,307,308,199,516,473,146,175,2028
"YDR339C",507,324,350,298,1787,1935,924,888,510
"YDR341C",3264,2028,1773,1139,7215,5887,2131,1684,1764
"YDR342C",12152,10075,4718,6516,32106,32995,4756,10341,1653
"YDR343C",10686,8986,4262,5808,31159,31926,4618,10178,1653
"YDR345C",3279,2500,971,955,10322,9252,929,1538,1644
"YDR346C",2183,1440,872,635,3571,3170,881,757,1386
"YDR348C",803,522,340,277,3138,2802,783,722,1440
"YDR349C",994,585,524,403,1004,899,442,419,1731
"YDR350C",994,630,810,607,406,374,299,348,1995
"YDR357C",549,425,424,295,1022,1115,780,732,309
"YDR359C",1267,885,753,663,672,705,427,401,2889
"YDR361C",642,435,318,189,1239,898,359,259,792
"YDR362C",554,401,230,182,845,783,192,187,1959
"YDR364C",617,484,448,331,483,518,284,311,1308
"YDR365C",627,441,350,280,1925,1476,451,309,1827
"YDR366C",256,199,351,232,16,32,37,47,339
"YDR369C",478,304,285,233,567,620,153,162,2505
"YDR370C",414,253,264,188,299,237,243,208,1269
"YDR372C",1488,1036,939,683,2861,2572,1225,1280,978
"YDR375C",417,292,176,161,584,567,121,121,1311
"YDR378C",585,445,308,202,1312,1092,580,555,201
"YDR379C-A",321,244,244,183,966,1029,585,640,180
"YDR381C-A",162,140,136,122,467,563,170,185,479
"YDR383C",131,108,139,163,293,305,172,225,657
"YDR384C",497,403,356,268,2283,2345,667,574,768
"YDR387C",584,339,347,314,432,387,304,396,1608
"YDR390C",791,568,432,380,1271,1181,460,470,1851
"YDR391C",473,372,321,348,1561,1672,583,850,639
"YDR397C",469,398,379,351,1073,1014,638,594,473
"YDR402C",72,37,35,40,20,17,14,8,1410
"YDR404C",688,433,587,348,1595,1518,901,988,456
"YDR407C",1673,1048,678,566,917,905,302,257,3810
"YDR408C",665,454,668,451,2235,1902,1093,939,585
"YDR410C",644,420,437,275,799,721,321,281,660
"YDR411C",1029,762,431,343,2817,2782,876,1030,966
